number,samplecode,daterun,instrument,analyte,resulttype,runlabel,result,unit,labdupTF,labuser,recorduser,flag,note,dateentered
177,0040-01,8/12/2021,lachat,tdn,sample,4001,0.21,mgL-1,FALSE,JB,LM,,,2021
178,0041-01,8/12/2021,lachat,tdn,sample,4101,0.272,mgL-1,FALSE,JB,LM,,,2021
179,0042-01,8/12/2021,lachat,tdn,sample,4201,0.195,mgL-1,FALSE,JB,LM,,,2021
180,0076-04,8/12/2021,lachat,tp,sample,20210728_WHITNEY_07604_TP,0.0494,mgL-1,FALSE,JB,MM,,,2021
181,0077-04,8/12/2021,lachat,tp,sample,7704,0.0514,mgL-1,FALSE,JB,MM,,,2021
182,0078-04,8/12/2021,lachat,tp,sample,7804,0.0521,mgL-1,FALSE,JB,MM,,,2021
183,0079-04,8/12/2021,lachat,tp,sample,7904,0.21,mgL-1,FALSE,JB,MM,,,2021
184,0080-04,8/12/2021,lachat,tp,sample,8004,0.205,mgL-1,FALSE,JB,MM,,,2021
185,0081-04,8/12/2021,lachat,tp,sample,8104,0.217,mgL-1,FALSE,JB,MM,,,2021
186,0082-15,8/12/2021,lachat,tp,sample,8215,0.0538,mgL-1,FALSE,JB,MM,,,2021
187,0083-15,8/12/2021,lachat,tp,sample,8315,0.0536,mgL-1,FALSE,JB,MM,,,2021
188,0084-15,8/12/2021,lachat,tp,sample,8415,0.0532,mgL-1,FALSE,JB,MM,,,2021
189,0085-15,8/12/2021,lachat,tp,sample,8515,0.00696,mgL-1,FALSE,JB,MM,,,2021
190,0086-15,8/12/2021,lachat,tp,sample,8615,0.00571,mgL-1,FALSE,JB,MM,,,2021
191,0087-15,8/12/2021,lachat,tp,sample,8715,0.00738,mgL-1,FALSE,JB,MM,,,2021
192,0088-15,8/12/2021,lachat,tp,sample,8815,0.00517,mgL-1,FALSE,JB,MM,,,2021
193,0089-15,8/12/2021,lachat,tp,sample,8915,0.00422,mgL-1,FALSE,JB,MM,,,2021
194,0090-15,8/12/2021,lachat,tp,sample,9015,0.00464,mgL-1,FALSE,JB,MM,,,2021
195,0061-03,8/12/2021,lachat,tdp,sample,20210728_WHITNEY_061-03_TDP,0.0149,mgL-1,FALSE,JB,MM,,,2021
196,0062-03,8/12/2021,lachat,tdp,sample,062-03,0.0126,mgL-1,FALSE,JB,MM,,,2021
197,0063-03,8/12/2021,lachat,tdp,sample,063-03,0.019,mgL-1,FALSE,JB,MM,,,2021
198,0064-03,8/12/2021,lachat,tdp,sample,064-03,0.183,mgL-1,FALSE,JB,MM,,,2021
199,0065-03,8/12/2021,lachat,tdp,sample,065-03,0.18,mgL-1,FALSE,JB,MM,,,2021
200,0066-03,8/12/2021,lachat,tdp,sample,066-03,0.18,mgL-1,FALSE,JB,MM,,,2021
201,0067-03,8/12/2021,lachat,tdp,sample,067-03,0.0384,mgL-1,FALSE,JB,MM,,,2021
202,0068-03,8/12/2021,lachat,tdp,sample,068-03,0.041,mgL-1,FALSE,JB,MM,,,2021
203,0069-03,8/12/2021,lachat,tdp,sample,069-03,0.0433,mgL-1,FALSE,JB,MM,,,2021
204,0070-03,8/12/2021,lachat,tdp,sample,070-03,0.00226,mgL-1,FALSE,JB,MM,,,2021
205,0071-03,8/12/2021,lachat,tdp,sample,071-03,0.00349,mgL-1,FALSE,JB,MM,,,2021
206,0072-03,8/12/2021,lachat,tdp,sample,072-03,0.00595,mgL-1,FALSE,JB,MM,,,2021
207,0073-03,8/12/2021,lachat,tdp,sample,073-03,0.00409,mgL-1,FALSE,JB,MM,,,2021
208,0074-03,8/12/2021,lachat,tdp,sample,074-03,0.00481,mgL-1,FALSE,JB,MM,,,2021
209,0075-03,8/12/2021,lachat,tdp,sample,075-03,0.00171,mgL-1,FALSE,JB,MM,,,2021
210,0469-01,8/5/2022,lachat,srp,sample,20220714_FLAME_BON1_0469-01,0.00724,mgL-1,FALSE,JB,LM,,,
211,0220-121,8/5/2022,lachat,srp,sample,0220-121,0.00721,mgL-1,FALSE,JB,LM,,,
212,0213-12,8/5/2022,lachat,srp,sample,0213-12,0.00812,mgL-1,FALSE,JB,LM,,,
213,0218-12,8/5/2022,lachat,srp,sample,BON2_0218-12,0.00495,mgL-1,FALSE,JB,LM,,,
214,0211-12,8/5/2022,lachat,srp,sample,0211-12,0.00654,mgL-1,FALSE,JB,LM,,,
215,0211-12,8/5/2022,lachat,srp,sample,0211-12,0.00769,mgL-1,TRUE,JB,LM,,,
216,0214-12,8/5/2022,lachat,srp,sample,0214-12,0.00753,mgL-1,FALSE,JB,LM,,,
217,0221-12,8/5/2022,lachat,srp,sample,BON3_0221-12,0.00386,mgL-1,FALSE,JB,LM,,,
218,0470-01,8/5/2022,lachat,srp,sample,0470-01,0.00664,mgL-1,FALSE,JB,LM,,,
219,0471-01,8/5/2022,lachat,srp,sample,0471-01,0.00467,mgL-1,FALSE,JB,LM,,,
220,0459-01,8/5/2022,lachat,srp,sample,B0N4_0459-01,0.00636,mgL-1,FALSE,JB,LM,,,
221,0467-01,8/5/2022,lachat,srp,sample,0467-01,0.00555,mgL-1,FALSE,JB,LM,,,
222,0472-01,8/5/2022,lachat,srp,sample,0472-01,0.00437,mgL-1,FALSE,JB,LM,,,
223,0212-12,8/5/2022,lachat,srp,sample,BS1_0212-12,0.00575,mgL-1,FALSE,JB,LM,,,
224,0465-01,8/5/2022,lachat,srp,sample,0465-01,0.00482,mgL-1,FALSE,JB,LM,,,
225,0465-01,8/5/2022,lachat,srp,sample,0465-01,0.00453,mgL-1,TRUE,JB,LM,,,
226,0466-01,8/5/2022,lachat,srp,sample,0466-01,0.00539,mgL-1,FALSE,JB,LM,,,
227,0209-12,8/5/2022,lachat,srp,sample,BS2_0209-12,0.00656,mgL-1,FALSE,JB,LM,,,
228,0463-01,8/5/2022,lachat,srp,sample,0463-01,0.00387,mgL-1,FALSE,JB,LM,,,
229,0468-01,8/5/2022,lachat,srp,sample,0468-01,0.00521,mgL-1,FALSE,JB,LM,,,
230,04456-01,8/5/2022,lachat,srp,sample,BS3_04456-01,0.00314,mgL-1,FALSE,JB,LM,,,
231,0457-01,8/5/2022,lachat,srp,sample,0457-01,0.00415,mgL-1,FALSE,JB,LM,,,
232,0217-12,8/5/2022,lachat,srp,sample,0217-12,0.00574,mgL-1,FALSE,JB,LM,,,
233,0210-12,8/5/2022,lachat,srp,sample,BS4_0210-12,0.00315,mgL-1,FALSE,JB,LM,,,
234,0458-01,8/5/2022,lachat,srp,sample,0458-01,0.00241,mgL-1,FALSE,JB,LM,,,
235,0464-01,8/5/2022,lachat,srp,sample,0464-01,0.0034,mgL-1,FALSE,JB,LM,,,
236,0462-01,8/5/2022,lachat,srp,sample,BS5_0462-01,0.00361,mgL-1,FALSE,JB,LM,,,
237,0462-01,8/5/2022,lachat,srp,sample,BS5_0462-01,0.00338,mgL-1,TRUE,JB,LM,,,
238,0216-12,8/5/2022,lachat,srp,sample,0216-12,0.00397,mgL-1,FALSE,JB,LM,,,
239,0215-12,8/5/2022,lachat,srp,sample,0215-12,0.00444,mgL-1,FALSE,JB,LM,,,
240,0219-121,8/5/2022,lachat,srp,sample,0219-121,0.00471,mgL-1,FALSE,JB,LM,,,
241,0460-01,8/5/2022,lachat,srp,sample,0460-01,0.00351,mgL-1,FALSE,JB,LM,,,
242,0461-01,8/5/2022,lachat,srp,sample,0461-01,0.00337,mgL-1,FALSE,JB,LM,,,
243,0469-01,8/5/2022,lachat,nh4n,sample,20220714_FLAME_BON1_0469-01,0.0943,mgL-1,FALSE,JB,LM,,,
